**ID**,**Consumer-ID**,**Transaction Timestamp**,**Payment Amount**,**Consumption**
ORDER_40A47D750C,USER_98F541C12598,2023-06-28 19:57:58,182.0,25.71
ORDER_82F1DB453D,USER_ED81AF49DD0B,2023-06-28 19:56:43,150.0,21.19
ORDER_5F29CDED2D,USER_B511BAB17D17,2023-06-28 19:50:38,161.0,22.74
ORDER_C91E83E66A,USER_470A91842BD8,2023-06-28 19:38:29,351.0,49.58
ORDER_374B2D16F4,USER_4D2E6145973C,2023-06-28 19:34:57,203.0,28.67
ORDER_E1E395D856,USER_211790DE4DFD,2023-06-28 19:34:37,200.0,28.25
ORDER_4AC53E4F23,USER_886E793A172B,2023-06-28 19:28:53,250.0,35.31
ORDER_E67BC7BFA0,USER_8327BE79B44B,2023-06-28 19:14:50,100.0,14.12
ORDER_28B7235892,USER_917ECC691224,2023-06-28 18:46:56,200.0,28.25
ORDER_6E56C70E05,USER_4655A524F5C1,2023-06-28 18:46:09,475.0,67.09
ORDER_73EA6B220E,USER_6C8EF5DDAD05,2023-06-28 18:45:54,276.0,38.98
ORDER_BD420B6B27,USER_5E5FD8C56BB3,2023-06-28 18:42:13,342.0,48.31
ORDER_168E030D37,USER_6FEA67E2073B,2023-06-28 18:34:27,287.0,40.54
ORDER_15F4C9B07E,USER_A0FF9A40718A,2023-06-28 18:28:24,312.0,44.07
ORDER_F8C979B8AE,USER_D1206A6C627E,2023-06-28 18:26:46,83.13,11.74
ORDER_4F7667A594,USER_5DE768798D0E,2023-06-28 18:26:39,300.0,42.37
ORDER_4295E4369B,USER_488D3A00059F,2023-06-28 18:15:15,287.0,40.54
ORDER_3C48FF8EDF,USER_190462144819,2023-06-28 17:47:30,256.0,36.16
ORDER_FF4A31DD64,USER_8F848C40D3F8,2023-06-28 17:44:24,200.0,28.25
ORDER_D808D95B49,USER_95770F6BB20D,2023-06-28 17:41:37,100.0,14.12
ORDER_EFD5CC229A,USER_3F6F2CECD2E3,2023-06-28 17:36:43,200.0,28.25
ORDER_8F25468C6F,USER_B6B35786BFB8,2023-06-28 17:18:44,283.0,39.97
ORDER_87735FD1F1,USER_615E32A3AF46,2023-06-28 17:18:16,221.0,31.21
ORDER_A0A1572F7F,USER_9A57EDA40019,2023-06-28 17:15:50,333.0,47.03
ORDER_FA90950B80,USER_8952CCC1BE1B,2023-06-28 17:03:02,100.0,14.12
ORDER_52509A6E76,USER_4EFA347CA371,2023-06-28 16:36:06,279.0,39.41
ORDER_87ECF59BF5,USER_50FA614E4AE5,2023-06-28 16:30:58,200.0,28.25
ORDER_D0D897ABE7,USER_36AB12D985D5,2023-06-28 16:28:37,152.0,21.47
ORDER_1975AEE3BF,USER_73680FE57EEF,2023-06-28 16:04:17,300.0,42.37
ORDER_7B0D6675A3,USER_AA180ECF7AAF,2023-06-28 15:56:47,195.0,27.54
ORDER_9AAEBFD972,USER_879A59E3562C,2023-06-28 15:20:54,240.0,33.9
ORDER_587D54B502,USER_7E37950F551F,2023-06-28 15:05:24,280.0,39.55
ORDER_3CEDC3B3B2,USER_8AEC5DF197DB,2023-06-28 15:03:28,138.0,19.49
ORDER_14E1A98422,USER_361A5F7C4F69,2023-06-28 15:01:07,185.0,26.13
ORDER_0A7146A65B,USER_B9D78A5B01D6,2023-06-28 15:00:41,200.0,28.25
ORDER_14F4EA969C,USER_D32A531C5AE3,2023-06-28 14:58:40,88.0,12.43
ORDER_70FDFE12E1,USER_64128049C7CC,2023-06-28 14:44:03,30.0,4.24
ORDER_686E000C89,USER_79745A13B2D1,2023-06-28 14:22:22,300.0,42.37
ORDER_E56A6B2DAD,USER_B0060BA117C0,2023-06-28 14:21:10,330.0,46.61
ORDER_EF6EBF70C3,USER_11C96EC00B14,2023-06-28 14:09:36,200.0,28.25
ORDER_FCF2271B38,USER_E5FF10FB206A,2023-06-28 14:05:41,280.0,39.55
ORDER_AF417F7D5B,USER_8A6D032E15FC,2023-06-28 13:26:14,196.0,27.68
ORDER_945D7837A2,USER_0B917B01D525,2023-06-28 13:26:03,336.0,47.46
ORDER_431866F5EF,USER_1395E0D202C5,2023-06-28 13:05:26,120.3,16.99
ORDER_4C7953C630,USER_48261ACF9423,2023-06-28 12:22:03,202.0,28.53
ORDER_3FC0ABB4ED,USER_04A32334232A,2023-06-28 12:07:39,182.0,25.71
ORDER_B899637D8F,USER_4E7A68C5B404,2023-06-28 10:44:41,200.0,28.25
ORDER_5C87F089E8,USER_D59EE90A3848,2023-06-28 10:35:33,150.0,21.19
ORDER_EC06823B29,USER_6B530B0331D9,2023-06-28 10:31:26,295.0,41.67
ORDER_147870F972,USER_8EA537D5B3B1,2023-06-28 10:16:15,180.0,25.42
ORDER_CD61CC278B,USER_C7830DE81CC9,2023-06-28 09:09:14,298.0,42.09
ORDER_92318EE30D,USER_F8AEA772F07D,2023-06-28 09:06:21,100.0,14.12
ORDER_34AD961147,USER_ACF9CF88027E,2023-06-28 08:23:01,385.0,54.38
ORDER_8E1C75E33E,USER_5F45A76A66E6,2023-06-28 08:17:19,200.0,28.25
ORDER_F3D7D9AB3A,USER_DD10C27B3106,2023-06-28 07:52:47,100.0,14.12
ORDER_C6E9A6E2E5,USER_C4B71A0638A0,2023-06-28 07:40:53,368.0,51.98
ORDER_000F475B5D,USER_F59B26CD6C6C,2023-06-28 07:40:11,200.0,28.25
ORDER_CA48119DD9,USER_46B31231BF9F,2023-06-28 07:26:00,339.0,47.88
ORDER_19142C329B,USER_4751C93AADD3,2023-06-28 07:14:00,200.0,28.25
ORDER_0CA52C9F9B,USER_A8EFBE4ECED9,2023-06-28 06:59:26,198.0,27.97
ORDER_3AE330E0A1,USER_DD20B5ADFAF6,2023-06-28 06:41:53,100.0,14.12
ORDER_9AB4E51F9C,USER_BE2484513C0D,2023-06-28 04:19:00,117.0,16.53
ORDER_D78F11C8FD,USER_8698C93322CB,2023-06-27 21:01:10,230.0,32.49
ORDER_F268BA15D7,USER_E8A0FDEE4E5F,2023-06-27 20:53:10,181.0,25.56
ORDER_CF42B553F5,USER_AAE8F5158CA6,2023-06-27 19:55:51,345.0,48.73
ORDER_F24B3355D9,USER_4635BB695854,2023-06-27 19:42:29,500.0,70.62
ORDER_BACCBE0F55,USER_CF41FA73C550,2023-06-27 19:24:30,100.0,14.12
ORDER_8C25CA9984,USER_1BE96526EFCC,2023-06-27 19:21:37,58.0,8.19
ORDER_A72C7419E1,USER_E7B6CE16CC42,2023-06-27 19:21:12,300.0,42.37
ORDER_DAFAE5D5BF,USER_5E0F3B804D61,2023-06-27 19:13:34,120.0,16.95
ORDER_62C88999CB,USER_861C7A7AD572,2023-06-27 19:02:58,370.0,52.26
ORDER_281594964C,USER_2FF9992D3B5B,2023-06-27 18:58:39,311.0,43.93
ORDER_E990BC014E,USER_000A9AF5C89F,2023-06-27 18:43:45,159.12,22.47
ORDER_0FEC72B0C9,USER_FBCF37A1F870,2023-06-27 18:36:42,204.0,28.81
ORDER_6326E999B6,USER_88BD15C81392,2023-06-27 18:28:34,197.0,27.82
ORDER_2BC887E288,USER_F82451CE66C7,2023-06-27 18:25:13,259.03,36.59
ORDER_F8DF226C60,USER_CA8E77F916D3,2023-06-27 18:22:17,240.0,33.9
ORDER_9343C4EF66,USER_FE4A1E4ACFD4,2023-06-27 18:13:04,330.0,46.61
ORDER_F24B62FADF,USER_0D16A9307FE8,2023-06-27 18:02:31,83.0,11.72
ORDER_A93B2EEA53,USER_C3C8BA1C510B,2023-06-27 18:02:31,200.0,28.25
ORDER_F1FC0DC2F8,USER_D8281DF2BDAD,2023-06-27 17:52:21,263.0,37.15
ORDER_049B0B89B3,USER_809333993F26,2023-06-27 17:43:05,100.0,14.12
ORDER_5AF540672C,USER_8DC02D93B225,2023-06-27 17:42:25,235.0,33.19
ORDER_19119B9F7F,USER_A8C7ECEA895A,2023-06-27 17:40:53,200.0,28.25
ORDER_2AB0B9BC03,USER_949C7385E6B5,2023-06-27 17:38:29,365.0,51.55
ORDER_1066C062B5,USER_82A0CFE1A6C5,2023-06-27 17:23:40,200.0,28.25
ORDER_9ADA0E6D5E,USER_DD68E0E3AF09,2023-06-27 17:17:01,295.0,41.67
ORDER_90D934E11B,USER_1D3FFA754629,2023-06-27 17:14:18,197.11,27.84
ORDER_6C55036D89,USER_6B5837EE1A47,2023-06-27 17:06:11,241.0,34.04
ORDER_B69E127C56,USER_D81C31A3964C,2023-06-27 17:03:46,159.56,22.54
ORDER_AF5D16ACEA,USER_F0F217FDB6E8,2023-06-27 17:03:15,450.0,63.56
ORDER_AF05407182,USER_56E129345562,2023-06-27 16:50:42,306.0,43.22
ORDER_8BAEA98508,USER_2EE7A32CCDD6,2023-06-27 16:41:53,315.0,44.49
ORDER_CDFBF47CBC,USER_1412D7854F44,2023-06-27 16:36:08,228.0,32.2
ORDER_6B78761475,USER_98FB2CD9C776,2023-06-27 16:19:17,210.0,29.66
ORDER_F205312D16,USER_30B98E1BD132,2023-06-27 16:09:19,215.0,30.37
ORDER_F596ABB46C,USER_9EC035E0EDAF,2023-06-27 15:48:10,91.0,12.85
ORDER_0EFC591719,USER_E62C40D28B40,2023-06-27 15:33:57,300.0,42.37
ORDER_2850715F75,USER_B543CA46ADB7,2023-06-27 15:25:24,210.0,29.66
ORDER_B3E9C37A58,USER_E8288949BAF4,2023-06-27 15:16:13,59.0,8.33
ORDER_E329FD7FBB,USER_E04BA66ABFF6,2023-06-27 15:08:59,319.0,45.06
ORDER_4C3FE9308E,USER_4D402FFAA03A,2023-06-27 14:57:06,375.0,52.97
ORDER_ED3E8EB798,USER_222B3E61698E,2023-06-27 13:29:02,140.0,19.77
ORDER_320DDEB0E6,USER_EFAFD4CFF7B3,2023-06-27 13:21:43,300.0,42.37
ORDER_DC179A78FA,USER_14800C8E0A1F,2023-06-27 13:01:20,200.0,28.25
ORDER_0825F32292,USER_AD19527D7B78,2023-06-27 12:55:18,200.0,28.25
ORDER_A84803021C,USER_11048D1E8342,2023-06-27 11:41:35,20.32,2.87
ORDER_6140953A06,USER_89BA4CA5A534,2023-06-27 11:28:45,282.0,39.83
ORDER_DB3952E0D5,USER_F1AAAB94675A,2023-06-27 11:28:33,31.0,4.38
ORDER_48EB81467A,USER_F6E7F40650E0,2023-06-27 11:23:51,177.0,25.0
ORDER_064F1DBF1A,USER_1AAFFDF5163B,2023-06-27 11:04:58,95.0,13.42
ORDER_FB88C7481D,USER_026211650951,2023-06-27 10:38:57,150.0,21.19
ORDER_1A2A0CE1AC,USER_33F9B6ED167F,2023-06-27 10:27:30,154.0,21.75
ORDER_22840A4064,USER_D7B0CDA1D0A7,2023-06-27 10:22:01,200.0,28.25
ORDER_17A5B326DE,USER_1404FB434158,2023-06-27 10:11:28,128.12,18.1
ORDER_52D0B00E48,USER_E446E2D66F37,2023-06-27 09:45:34,136.0,19.21
ORDER_69BB059C6B,USER_916CB5028EE0,2023-06-27 09:44:39,319.0,45.06
ORDER_C26E59E33D,USER_382652FF6FE7,2023-06-27 09:38:58,251.0,35.45
ORDER_B166D980AE,USER_4AE65D36968D,2023-06-27 09:37:16,110.0,15.54
ORDER_1E2281BC39,USER_03522DAD6FBE,2023-06-27 09:34:39,143.0,20.2
ORDER_B7D4D2A2A7,USER_4BA021AD2571,2023-06-27 09:32:08,305.0,43.08
ORDER_473559FD9A,USER_8396EDA563C2,2023-06-27 09:12:39,200.0,28.25
ORDER_65CD4BBF55,USER_591EAACDA42A,2023-06-27 09:09:59,215.0,30.37
ORDER_D8B47A4CF4,USER_22DF6FB26483,2023-06-27 08:57:57,254.0,35.88
ORDER_968345AD52,USER_ED1D189A38BD,2023-06-27 08:42:29,100.0,14.12
ORDER_6583BCCA45,USER_EB9FDA310230,2023-06-27 08:39:16,267.0,37.71
ORDER_1EE74E63D8,USER_C7CC78A9980B,2023-06-27 08:27:51,285.0,40.25
ORDER_3290AB2BDE,USER_AB6DD5AA6B4A,2023-06-27 08:24:16,213.0,30.08
ORDER_40859C1673,USER_F916B4D1919B,2023-06-27 07:57:18,178.0,25.14
ORDER_44240CB9AF,USER_208AF5EFC0A5,2023-06-27 07:43:43,252.0,35.59
ORDER_4BBA5E58F9,USER_144F56E94E41,2023-06-27 07:41:18,342.0,48.31
ORDER_09269204FB,USER_D866DEAD1A5B,2023-06-27 07:32:38,161.22,22.77
ORDER_BA4BCB9373,USER_F128D9EA3D44,2023-06-27 07:11:59,180.0,25.42
ORDER_3E0A1E6FF2,USER_26DC9F8B47F8,2023-06-27 07:08:21,226.0,31.92
ORDER_BF3B1171E0,USER_FC9798A0D8EE,2023-06-27 07:02:50,362.0,51.13
ORDER_640AF5266A,USER_21B7776900E6,2023-06-27 06:45:37,179.0,25.28
ORDER_D552BAA87A,USER_C44B81A6C044,2023-06-27 06:41:29,132.0,18.64
ORDER_EE1C263229,USER_7F1495DF0E47,2023-06-27 06:21:05,338.0,47.74
ORDER_1ABC94103A,USER_C500552AC983,2023-06-27 06:05:06,265.0,37.43
ORDER_60AA62FBDD,USER_10A2C9D77EAD,2023-06-27 00:10:12,300.0,42.37
ORDER_2E3C2A490A,USER_037791A70B56,2023-06-26 21:55:15,280.0,39.55
ORDER_27BB0ED124,USER_9BFE15B40621,2023-06-26 20:29:44,200.0,28.25
ORDER_010E9FE750,USER_E513967194D2,2023-06-26 20:23:34,165.0,23.31
ORDER_BF5649643C,USER_72C04B36254B,2023-06-26 20:18:06,216.0,30.51
ORDER_7413CEDF7C,USER_38E915E0B4C7,2023-06-26 20:10:21,286.0,40.4
ORDER_284F4595DA,USER_8B2DF73697F8,2023-06-26 20:02:19,200.0,28.25
ORDER_661B732EB5,USER_CB918D3CE571,2023-06-26 20:00:24,150.0,21.19
ORDER_405ABCC5E6,USER_8C7003F71C45,2023-06-26 19:36:08,216.0,30.51
ORDER_2F9F6A69CB,USER_B4B10D6488E6,2023-06-26 19:33:21,271.0,38.28
ORDER_494114B2B9,USER_CFEC75E7B0E1,2023-06-26 19:21:57,303.0,42.8
ORDER_186E747521,USER_9D9ADF6D0439,2023-06-26 19:18:59,542.0,76.55
ORDER_B85DDB4EDF,USER_58CF81E45379,2023-06-26 19:05:56,340.0,48.02
ORDER_05A616C8F0,USER_AE236F139BB0,2023-06-26 19:05:46,200.0,28.25
ORDER_5F97EB2FF3,USER_6610E22AC3A5,2023-06-26 19:02:41,200.0,28.25
ORDER_3F6F54814B,USER_DC1F4A2EBBAC,2023-06-26 19:00:44,171.0,24.15
ORDER_515E295913,USER_D7282C2B9436,2023-06-26 18:47:05,210.0,29.66
ORDER_2DA3F4E63F,USER_569F9FA32DDC,2023-06-26 18:41:31,200.0,28.25
ORDER_D1D5E23470,USER_973585AEC972,2023-06-26 18:28:44,281.0,39.69
ORDER_3D62F8F4A9,USER_8201DAE8CC3C,2023-06-26 18:24:40,230.0,32.49
ORDER_2686C9EEB7,USER_8F183BAD9DE3,2023-06-26 18:23:28,251.0,35.45
ORDER_6FAF14D30D,USER_6CC14566B42F,2023-06-26 18:12:38,200.0,28.25
ORDER_E24CBF035E,USER_05AA7443427B,2023-06-26 18:07:44,185.0,26.13
ORDER_A8BB36029A,USER_A3DBF85108F6,2023-06-26 17:51:42,162.68,22.98
ORDER_7705988605,USER_8D0AB0BFA6A6,2023-06-26 17:44:16,200.0,28.25
ORDER_7D4E357195,USER_80D61F67F908,2023-06-26 17:32:50,200.0,28.25
ORDER_0F6C346BBE,USER_6E03AA9FEB33,2023-06-26 17:20:32,200.0,28.25
ORDER_14567D408C,USER_37858ABC2079,2023-06-26 17:12:42,200.0,28.25
ORDER_CB582A3B1C,USER_385A64A1451B,2023-06-26 16:56:33,300.0,42.37
ORDER_6AB53ECCCE,USER_089A1E0FF765,2023-06-26 16:37:47,212.0,29.94
ORDER_24E5FFC2FE,USER_0BAE4381A836,2023-06-26 16:15:42,207.0,29.24
ORDER_3874EFC425,USER_9FCC9592918A,2023-06-26 16:00:29,194.0,27.4
ORDER_5E5F1AEE37,USER_2ACBEF6D56A8,2023-06-26 15:34:51,331.0,46.75
ORDER_8FC843B49A,USER_3D9FCB90D341,2023-06-26 15:14:20,390.0,55.08
ORDER_4BFD08DCF9,USER_250AE2E81DAF,2023-06-26 14:44:22,255.0,36.02
ORDER_3670678336,USER_0D890B43952D,2023-06-26 14:23:25,35.19,4.97
ORDER_2501FF9700,USER_F8A5BB935D6B,2023-06-26 14:14:17,150.0,21.19
ORDER_7B2D32054E,USER_366ED466DCEC,2023-06-26 13:03:09,200.0,28.25
ORDER_CFC47DCA16,USER_8FBCADAEF206,2023-06-26 12:38:56,240.0,33.9
ORDER_8C8B5073FC,USER_7A47BD90D77E,2023-06-26 12:38:42,216.87,30.63
ORDER_E326E1BC7E,USER_4AFBD6A9ABCA,2023-06-26 12:22:08,200.0,28.25
ORDER_7C252E3C8E,USER_49D682EEAA03,2023-06-26 12:16:49,280.0,39.55
ORDER_7191417A46,USER_F3CAD763DF62,2023-06-26 12:10:27,475.0,67.09
ORDER_6AB0627840,USER_0372C3C46D48,2023-06-26 11:48:06,351.0,49.58
ORDER_4E5E31250C,USER_2966C7457D0B,2023-06-26 11:37:10,200.0,28.25
ORDER_B7CF4E0B74,USER_FCFB20DD4CB8,2023-06-26 10:38:45,309.0,43.64
ORDER_213CD3B9FD,USER_D890946B3F2D,2023-06-26 10:22:01,201.0,28.39
ORDER_383C243EA1,USER_6452B00EB348,2023-06-26 10:14:32,120.0,16.95
ORDER_1318E9E9BC,USER_CCD0FB6DC258,2023-06-26 10:08:31,300.0,42.37
ORDER_0566474C8B,USER_D00282008A38,2023-06-26 10:02:05,7.0,0.99
ORDER_FAA6C5D44D,USER_A8ADA72CC183,2023-06-26 09:51:11,75.0,10.59
ORDER_BC9902CE71,USER_2CE2C2E5FE7A,2023-06-26 09:47:43,9.0,1.27
ORDER_F7DA5E12DA,USER_13DEA6C138FF,2023-06-26 09:43:06,217.0,30.65
ORDER_48A955B7A2,USER_5E83784E683E,2023-06-26 09:36:18,275.0,38.84
ORDER_C5B2618D56,USER_2DDCDFEA9948,2023-06-26 09:26:03,217.0,30.65
ORDER_C918D1AC23,USER_5D5A8DB704C2,2023-06-26 09:21:19,213.0,30.08
ORDER_21805D7A6B,USER_9ADF5C3D870E,2023-06-26 09:20:48,185.0,26.13
ORDER_5257AF000A,USER_9BA81DF13A89,2023-06-26 09:07:46,214.0,30.23
ORDER_8C72EB0BA0,USER_3BDD21DA9317,2023-06-26 09:04:55,252.0,35.59
ORDER_3660D4E107,USER_F3E246988BB8,2023-06-26 08:58:09,220.0,31.07
ORDER_7D579EB681,USER_7E7A940CB476,2023-06-26 08:57:18,100.0,14.12
ORDER_7D9CE5AF79,USER_4C75D0D84371,2023-06-26 08:46:47,28.0,3.95
ORDER_03E91B3B73,USER_5BA6A6CA20D6,2023-06-26 08:06:09,174.0,24.58
ORDER_173EF7944B,USER_8F3CA6F4D793,2023-06-26 08:03:50,240.0,33.9
ORDER_7F1CCED84F,USER_A0847DD7B85D,2023-06-26 08:02:14,458.0,64.69
ORDER_0C2DC49E6D,USER_BC24F1CE730D,2023-06-26 07:09:46,156.0,22.03
ORDER_65B2F414F1,USER_0E3D6C4C0183,2023-06-26 07:05:21,100.0,14.12
ORDER_F131528A7C,USER_21E49BA51CD7,2023-06-26 07:00:42,257.0,36.3
ORDER_BF07C0900D,USER_4C00D4ADFDDD,2023-06-26 06:43:16,400.0,56.5
ORDER_8F1DCE7D3F,USER_19E8226C50B6,2023-06-26 05:43:12,200.0,28.25
ORDER_0D9B6298F8,USER_CB8B588A1E9F,2023-06-25 21:54:23,200.0,28.25
ORDER_E4B7029C02,USER_E58D6CA940BC,2023-06-25 21:54:19,197.0,27.82
ORDER_3E928E6708,USER_F6A1B91715F5,2023-06-25 21:33:22,165.0,23.31
ORDER_85779E36F5,USER_AFF9BD8DDE8D,2023-06-25 21:17:07,200.0,28.25
ORDER_946864AD6A,USER_A3F1666E2073,2023-06-25 20:52:50,267.0,37.71
ORDER_4224AD4053,USER_F0717C5200FF,2023-06-25 20:39:51,300.0,42.37
ORDER_A78087A2E7,USER_FE9F8C5B7C68,2023-06-25 20:29:54,409.0,57.77
ORDER_13FCC9E729,USER_7DA6707B1604,2023-06-25 20:09:17,209.0,29.52
ORDER_3B151FC6F7,USER_89A167A8EA3D,2023-06-25 20:05:58,313.0,44.21
ORDER_CDD601E810,USER_5C10FE3E267D,2023-06-25 20:02:22,50.0,7.06
ORDER_9C7387349A,USER_4D19856F929D,2023-06-25 19:58:50,223.0,31.5
ORDER_81F72E2096,USER_2B761D07BF9D,2023-06-25 19:23:22,300.0,42.37
ORDER_1F7356DEBF,USER_903B53A96310,2023-06-25 18:36:15,280.8,39.66
ORDER_D07418554C,USER_089605F1CD6C,2023-06-25 18:36:09,299.0,42.23
ORDER_5B9A3C6901,USER_7766265C5E02,2023-06-25 18:34:36,306.0,43.22
ORDER_B8F04E7393,USER_419159EA1613,2023-06-25 18:23:06,255.0,36.02
ORDER_92FF1E1E47,USER_6A5493F0F4BA,2023-06-25 18:18:14,247.56,34.97
